carId	trackId	trackLength	lapIndex	lapNum	lapFlag	binIndex	validBin	lap_number	lap_distance	lap_time	lap_time_invalid	world_position_X	world_position_Y	world_position_Z	world_forward_X	world_forward_Y	world_forward_Z	world_right_X	world_right_Y	world_right_Z	velocity_X	velocity_Y	velocity_Z	gforce_X	gforce_Y	gforce_Z	race_position	throttle	brake_0	brake_1	clutch	steering	gear	rpm	rpm_perc	tyre_compound_0	tyre_compound_1	susp_pos_0	susp_pos_1	wheel_inertia_0	wheel_inertia_1	wheel_speed_0	wheel_speed_1	tyre_wear_enabled_0	tyre_wear_enabled_1	tyre_wear_0	tyre_wear_1	wheel_slip_ratio_0	wheel_slip_ratio_1	wheel_slip_angle_0	wheel_slip_angle_1	brake_temp_0	brake_temp_1	weight_longitudinal_action	slip_stream
Honda_RC213V	Losail	5402.23	0	0	0	0	1	0	1.67987	0.0137939	0	-411.256	-168.953	-20.2322	-0.48464	0.874395	0.0236197	0.874304	0.483409	0.0436845	86.9164	0.216221	0	-0.285042	0.0217456	0	0	1	0	0	0	0.00519928	6	16201.4	0.90008	2	2	-0.00705448	0.0281506	1.4	1.5	309.622	304.575	0	0	0	0	-0.00314663	0.0507243	-0.000568604	0.00170237	172.036	20	0.4	0
Honda_RC213V	Losail	5402.23	0	0	0	1	1	0	1.67987	0.0137939	0	-411.256	-168.953	-20.2322	-0.48464	0.874395	0.0236197	0.874304	0.483409	0.0436845	86.9164	0.216221	0	-0.285042	0.0217456	0	0	1	0	0	0	0.00519928	6	16201.4	0.90008	2	2	-0.00705448	0.0281506	1.4	1.5	309.622	304.575	0	0	0	0	-0.00314663	0.0507243	-0.000568604	0.00170237	172.036	20	0.4	0
Honda_RC213V	Losail	5402.23	0	0	0	2	1	0	2.60377	0.0209732	0	-411.702	-168.144	-20.2349	-0.484581	0.874427	0.0236356	0.874363	0.483391	0.0426859	86.9363	0.21134	0	-0.284496	0.0208017	0	0	1	0	0	0	0.00511898	6	16204.5	0.900251	2	2	-0.00705359	0.0281602	1.4	1.5	309.693	304.633	0	0	0	0	-0.0031442	0.05068	-0.00056832	0.00166644	171.931	20	0.4	0
Honda_RC213V	Losail	5402.23	0	0	0	3	1	0	3.52768	0.0281525	0	-412.147	-167.335	-20.2376	-0.484521	0.87446	0.0236516	0.874421	0.483373	0.0416872	86.9562	0.20646	0	-0.283946	0.0198575	0	0	1	0	0	0	0.00503869	6	16207.6	0.900422	2	2	-0.00705269	0.0281697	1.4	1.5	309.764	304.691	0	0	0	0	-0.00314177	0.0506357	-0.000568036	0.00163051	171.827	20	0.4	0
Honda_RC213V	Losail	5402.23	0	0	0	4	1	0	4.45159	0.0353317	0	-412.593	-166.525	-20.2403	-0.484462	0.874492	0.0236675	0.874479	0.483354	0.0406884	86.9761	0.20158	0	-0.283394	0.0189132	0	0	1	0	0	0	0.0049584	6	16210.7	0.900594	2	2	-0.0070518	0.0281792	1.4	1.5	309.835	304.749	0	0	0	0	-0.00313934	0.0505914	-0.000567751	0.00159458	171.722	20	0.4	0
Honda_RC213V	Losail	5402.23	0	0	0	5	1	0	5.3755	0.042511	0	-413.039	-165.716	-20.2429	-0.484403	0.874524	0.0236834	0.874536	0.483334	0.0396896	86.9959	0.196699	0	-0.282839	0.0179687	0	0	1	0	0	0	0.0048781	6	16213.8	0.900765	2	2	-0.0070509	0.0281888	1.4	1.5	309.906	304.807	0	0	0	0	-0.00313691	0.0505472	-0.000567467	0.00155865	171.617	20	0.4	0
Honda_RC213V	Losail	5402.23	0	0	0	6	1	0	6.27975	0.0574493	0	-413.475	-164.923	-20.2455	-0.484291	0.874586	0.0237054	0.874637	0.483292	0.037925	87.0353	0.187529	0	-0.280904	0.0164778	0	0	1	0	0	0	0.00464739	6	16220.6	0.901143	2	2	-0.00703132	0.028212	1.4	1.5	310.055	304.935	0	0	0	0	-0.0031277	0.0504825	-0.0005293	0.00149233	171.499	20	0.4	0
Honda_RC213V	Losail	5402.23	0	0	0	7	1	0	7.18401	0.0723877	0	-413.911	-164.131	-20.2482	-0.48418	0.874647	0.0237274	0.874736	0.483249	0.0361603	87.0748	0.178359	0	-0.278961	0.0149864	0	0	1	0	0	0	0.00441668	6	16227.4	0.901522	2	2	-0.00701173	0.0282353	1.4	1.5	310.204	305.063	0	0	0	0	-0.00311849	0.0504178	-0.000491132	0.00142601	171.381	20	0.4	0
Honda_RC213V	Losail	5402.23	0	0	0	8	1	0	8.23197	0.0871582	0	-414.416	-163.213	-20.2512	-0.48407	0.874707	0.0237489	0.874829	0.483199	0.0345324	87.116	0.169058	0	-0.278104	0.0143411	0	0	1	0	0	0	0.00423113	6	16233.9	0.901885	2	2	-0.00698431	0.0282674	1.4	1.5	310.349	305.186	0	0	0	0	-0.00310705	0.0503534	-0.000476967	0.00135966	171.275	20	0.4	0
Honda_RC213V	Losail	5402.23	0	0	0	9	1	0	9.27993	0.101929	0	-414.921	-162.295	-20.2542	-0.483959	0.874768	0.0237705	0.87492	0.483149	0.0329045	87.1573	0.159756	0	-0.277246	0.0136957	0	0	1	0	0	0	0.00404557	6	16240.5	0.902247	2	2	-0.0069569	0.0282996	1.4	1.5	310.495	305.308	0	0	0	0	-0.00309561	0.050289	-0.000462802	0.00129331	171.17	20	0.4	0
